date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2011-01-13,13,January,2011,38,Adults,M,"United States",California,Bikes,"Road Bikes","Road-150 Red, 52",1,2171,3578,1335,2171,3506
2011-01-13,13,January,2011,38,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-250 Black, 44",1,1555,2443,351,1555,1906
2011-01-14,14,January,2011,22,Youth,F,Australia,Victoria,Bikes,"Road Bikes","Road-250 Black, 48",2,1555,2443,750,3110,3860
2011-01-14,14,January,2011,26,"Young Adults",M,Australia,Queensland,Bikes,"Mountain Bikes","Mountain-200 Black, 46",2,1252,2295,1352,2504,3856
2011-01-14,14,January,2011,29,"Young Adults",F,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-200 Silver, 38",1,1266,2320,752,1266,2018
2011-01-14,14,January,2011,31,"Young Adults",F,"United Kingdom",England,Bikes,"Road Bikes","Road-750 Black, 52",1,344,540,174,344,518
2011-01-14,14,January,2011,34,"Young Adults",F,"United States",Washington,Bikes,"Mountain Bikes","Mountain-100 Silver, 44",3,1912,3400,2220,5736,7956
2011-01-14,14,January,2011,40,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-650 Black, 48",1,487,783,124,487,611
2011-01-14,14,January,2011,44,Adults,F,"United States",Washington,Bikes,"Road Bikes","Road-350-W Yellow, 44",4,1083,1701,975,4332,5307
2011-01-14,14,January,2011,47,Adults,M,Australia,"New South Wales",Bikes,"Road Bikes","Road-750 Black, 58",4,344,540,503,1376,1879
2011-01-14,14,January,2011,57,Adults,M,Australia,Queensland,Bikes,"Road Bikes","Road-550-W Yellow, 42",3,713,1120,683,2139,2822
2011-01-15,15,January,2011,19,Youth,F,"United Kingdom",England,Bikes,"Road Bikes","Road-150 Red, 62",2,2171,3578,2528,4342,6870
2011-01-15,15,January,2011,19,Youth,M,Australia,"New South Wales",Bikes,"Road Bikes","Road-550-W Yellow, 42",1,713,1120,261,713,974
2011-01-15,15,January,2011,24,Youth,M,Australia,Tasmania,Bikes,"Mountain Bikes","Mountain-200 Black, 46",3,1252,2295,1821,3756,5577
2011-01-15,15,January,2011,28,"Young Adults",M,"United Kingdom",England,Bikes,"Mountain Bikes","Mountain-200 Black, 38",1,1252,2295,951,1252,2203
2011-01-15,15,January,2011,34,"Young Adults",M,Australia,"New South Wales",Bikes,"Road Bikes","Road-350-W Yellow, 48",1,1083,1701,397,1083,1480
2011-01-15,15,January,2011,35,Adults,F,France,Essonne,Bikes,"Mountain Bikes","Mountain-200 Silver, 42",1,1266,2320,961,1266,2227
2011-01-15,15,January,2011,72,Seniors,F,"United States",California,Bikes,"Mountain Bikes","Mountain-100 Black, 48",4,1898,3375,5638,7592,13230
2011-01-16,16,January,2011,22,Youth,M,Australia,Victoria,Bikes,"Road Bikes","Road-650 Black, 44",1,487,783,132,487,619
2011-01-16,16,January,2011,25,"Young Adults",F,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-200 Silver, 46",1,1266,2320,752,1266,2018
2011-01-16,16,January,2011,27,"Young Adults",F,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-200 Silver, 46",1,1266,2320,752,1266,2018
2011-01-16,16,January,2011,28,"Young Adults",M,Australia,"New South Wales",Bikes,"Road Bikes","Road-350-W Yellow, 42",1,1083,1701,397,1083,1480
2011-01-16,16,January,2011,34,"Young Adults",F,Australia,"New South Wales",Bikes,"Road Bikes","Road-250 Black, 44",1,1555,2443,570,1555,2125
2011-01-16,16,January,2011,37,Adults,M,Canada,"British Columbia",Bikes,"Road Bikes","Road-750 Black, 44",1,344,540,191,344,535
2011-01-16,16,January,2011,57,Adults,M,Australia,"New South Wales",Bikes,"Road Bikes","Road-250 Black, 58",1,1555,2443,570,1555,2125
2011-01-17,17,January,2011,23,Youth,M,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-200 Silver, 38",3,1266,2320,2257,3798,6055
2011-01-17,17,January,2011,24,Youth,F,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-200 Black, 46",3,1252,2295,2234,3756,5990
2011-01-17,17,January,2011,30,"Young Adults",M,"United States",California,Bikes,"Road Bikes","Road-150 Red, 48",4,2171,3578,5342,8684,14026
2011-01-17,17,January,2011,32,"Young Adults",F,France,"Seine Saint Denis",Bikes,"Road Bikes","Road-250 Black, 58",4,1555,2443,1793,6220,8013
2011-01-17,17,January,2011,34,"Young Adults",M,"United States",California,Bikes,"Road Bikes","Road-150 Red, 56",1,2171,3578,1335,2171,3506
2011-01-17,17,January,2011,42,Adults,F,"United States",Washington,Bikes,"Road Bikes","Road-750 Black, 48",1,344,540,77,344,421
2011-01-17,17,January,2011,44,Adults,F,"United States",California,Bikes,"Road Bikes","Road-150 Red, 62",4,2171,3578,5342,8684,14026
2011-01-17,17,January,2011,46,Adults,M,Australia,"New South Wales",Bikes,"Road Bikes","Road-750 Black, 48",1,344,540,126,344,470
2011-01-18,18,January,2011,18,Youth,M,Australia,Victoria,Bikes,"Road Bikes","Road-750 Black, 52",1,344,540,83,344,427
2011-01-18,18,January,2011,19,Youth,M,Australia,"New South Wales",Bikes,"Road Bikes","Road-550-W Yellow, 42",4,713,1120,1046,2852,3898
2011-01-18,18,January,2011,29,"Young Adults",M,"United Kingdom",England,Bikes,"Road Bikes","Road-350-W Yellow, 48",1,1083,1701,550,1083,1633
2011-01-18,18,January,2011,32,"Young Adults",M,"United Kingdom",England,Bikes,"Road Bikes","Road-550-W Yellow, 38",1,713,1120,362,713,1075
2011-01-18,18,January,2011,54,Adults,F,Australia,"New South Wales",Bikes,"Road Bikes","Road-350-W Yellow, 40",1,1083,1701,397,1083,1480
2011-01-18,18,January,2011,54,Adults,F,"United Kingdom",England,Bikes,"Road Bikes","Road-750 Black, 52",3,344,540,523,1032,1555
2011-01-19,19,January,2011,21,Youth,M,"United Kingdom",England,Bikes,"Road Bikes","Road-550-W Yellow, 44",3,713,1120,1087,2139,3226
2011-01-19,19,January,2011,26,"Young Adults",F,"United Kingdom",England,Bikes,"Road Bikes","Road-350-W Yellow, 44",1,1083,1701,550,1083,1633
2011-01-19,19,January,2011,35,Adults,F,"United States",Washington,Bikes,"Road Bikes","Road-150 Red, 56",1,2171,3578,620,2171,2791
2011-01-19,19,January,2011,36,Adults,F,"United Kingdom",England,Bikes,"Road Bikes","Road-350-W Yellow, 48",2,1083,1701,1100,2166,3266
2011-01-19,19,January,2011,39,Adults,F,"United States",Oregon,Bikes,"Road Bikes","Road-550-W Yellow, 48",3,713,1120,751,2139,2890
2011-01-19,19,January,2011,41,Adults,F,Australia,Queensland,Bikes,"Road Bikes","Road-250 Red, 58",1,1555,2443,497,1555,2052
2011-01-20,20,January,2011,23,Youth,F,"United Kingdom",England,Bikes,"Road Bikes","Road-150 Red, 56",1,2171,3578,1264,2171,3435
2011-01-20,20,January,2011,33,"Young Adults",F,"United States",California,Bikes,"Road Bikes","Road-750 Black, 44",4,344,540,741,1376,2117
2011-01-20,20,January,2011,36,Adults,F,Australia,Victoria,Bikes,"Road Bikes","Road-550-W Yellow, 48",1,713,1120,172,713,885
2011-01-20,20,January,2011,38,Adults,F,Canada,"British Columbia",Bikes,"Road Bikes","Road-250 Black, 48",1,1555,2443,864,1555,2419
2011-01-20,20,January,2011,42,Adults,M,Australia,"South Australia",Bikes,"Road Bikes","Road-550-W Yellow, 40",1,713,1120,205,713,918
2011-01-20,20,January,2011,46,Adults,M,Australia,Victoria,Bikes,"Road Bikes","Road-750 Black, 44",1,344,540,83,344,427
2011-01-21,21,January,2011,23,Youth,F,"United Kingdom",England,Bikes,"Road Bikes","Road-150 Red, 56",2,2171,3578,2528,4342,6870
2011-01-21,21,January,2011,24,Youth,M,Australia,Victoria,Bikes,"Road Bikes","Road-250 Black, 44",1,1555,2443,375,1555,1930
2011-01-21,21,January,2011,25,"Young Adults",M,Australia,Victoria,Bikes,"Mountain Bikes","Mountain-200 Silver, 42",1,1266,2320,567,1266,1833
2011-01-21,21,January,2011,36,Adults,F,"United States",California,Bikes,"Road Bikes","Road-650 Red, 62",1,487,783,280,487,767
2011-01-21,21,January,2011,38,Adults,F,Germany,Hamburg,Bikes,"Mountain Bikes","Mountain-100 Silver, 38",4,1912,3400,5000,7648,12648
2011-01-21,21,January,2011,38,Adults,M,"United States",California,Bikes,"Road Bikes","Road-150 Red, 52",1,2171,3578,1335,2171,3506
2011-01-21,21,January,2011,45,Adults,F,Australia,Queensland,Bikes,"Road Bikes","Road-750 Black, 48",1,344,540,110,344,454
2011-01-22,22,January,2011,26,"Young Adults",M,Australia,Victoria,Bikes,"Mountain Bikes","Mountain-400-W Silver, 46",1,420,769,188,420,608
2011-01-22,22,January,2011,30,"Young Adults",F,Australia,Victoria,Bikes,"Road Bikes","Road-750 Black, 44",1,344,540,83,344,427
2011-01-22,22,January,2011,30,"Young Adults",F,"United States",California,Bikes,"Road Bikes","Road-650 Black, 58",1,487,783,280,487,767
2011-01-22,22,January,2011,31,"Young Adults",F,France,"Val d'Oise",Bikes,"Road Bikes","Road-150 Red, 56",3,2171,3578,1967,6513,8480
2011-01-22,22,January,2011,34,"Young Adults",F,"United States",California,Bikes,"Road Bikes","Road-250 Black, 52",2,1555,2443,1678,3110,4788
2011-01-22,22,January,2011,35,Adults,F,France,"Seine Saint Denis",Bikes,"Mountain Bikes","Mountain-100 Silver, 38",1,1912,3400,876,1912,2788
2011-01-22,22,January,2011,37,Adults,M,Australia,Victoria,Bikes,"Road Bikes","Road-550-W Yellow, 48",3,713,1120,515,2139,2654
2011-01-22,22,January,2011,40,Adults,F,"United States",California,Bikes,"Road Bikes","Road-250 Black, 58",1,1555,2443,839,1555,2394
2011-01-22,22,January,2011,46,Adults,M,Canada,"British Columbia",Bikes,"Mountain Bikes","Mountain-200 Black, 46",3,1252,2295,3060,3756,6816
2011-01-23,23,January,2011,30,"Young Adults",M,France,"Seine Saint Denis",Bikes,"Road Bikes","Road-250 Black, 48",3,1555,2443,1345,4665,6010
2011-01-23,23,January,2011,41,Adults,F,"United States",Washington,Bikes,"Road Bikes","Road-250 Black, 52",4,1555,2443,1402,6220,7622
2011-01-23,23,January,2011,62,Adults,M,"United States",California,Bikes,"Road Bikes","Road-150 Red, 56",1,2171,3578,1335,2171,3506
2011-01-24,24,January,2011,31,"Young Adults",F,"United States",Washington,Bikes,"Road Bikes","Road-350-W Yellow, 42",4,1083,1701,975,4332,5307
2011-01-24,24,January,2011,34,"Young Adults",F,Australia,"New South Wales",Bikes,"Road Bikes","Road-250 Black, 44",3,1555,2443,1711,4665,6376
2011-01-24,24,January,2011,34,"Young Adults",F,"United States",Washington,Bikes,"Mountain Bikes","Mountain-100 Silver, 44",1,1912,3400,740,1912,2652
2011-01-24,24,January,2011,35,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-150 Red, 48",2,2171,3578,1240,4342,5582
2011-01-24,24,January,2011,38,Adults,F,Canada,"British Columbia",Bikes,"Road Bikes","Road-250 Black, 48",4,1555,2443,3454,6220,9674
2011-01-24,24,January,2011,39,Adults,F,Canada,"British Columbia",Bikes,"Road Bikes","Road-250 Red, 58",1,1555,2443,864,1555,2419
2011-01-24,24,January,2011,41,Adults,F,"United States",Washington,Bikes,"Road Bikes","Road-250 Black, 52",4,1555,2443,1402,6220,7622
2011-01-24,24,January,2011,42,Adults,F,Australia,Victoria,Bikes,"Road Bikes","Road-750 Black, 48",1,344,540,83,344,427
2011-01-25,25,January,2011,31,"Young Adults",M,"United States",Washington,Bikes,"Road Bikes","Road-650 Black, 48",1,487,783,124,487,611
2011-01-25,25,January,2011,38,Adults,M,"United States",California,Bikes,"Road Bikes","Road-150 Red, 52",1,2171,3578,1335,2171,3506
2011-01-25,25,January,2011,39,Adults,M,"United States",California,Bikes,"Road Bikes","Road-350-W Yellow, 42",2,1083,1701,1168,2166,3334
2011-01-25,25,January,2011,55,Adults,M,Australia,Queensland,Bikes,"Road Bikes","Road-550-W Yellow, 40",1,713,1120,228,713,941
2011-01-26,26,January,2011,34,"Young Adults",M,Australia,Queensland,Bikes,"Mountain Bikes","Mountain-200 Black, 46",3,1252,2295,2027,3756,5783
2011-01-26,26,January,2011,35,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-150 Red, 48",4,2171,3578,2479,8684,11163
2011-01-26,26,January,2011,38,Adults,F,Australia,Victoria,Bikes,"Road Bikes","Road-250 Red, 58",1,1555,2443,375,1555,1930
2011-01-26,26,January,2011,38,Adults,F,"United Kingdom",England,Bikes,"Mountain Bikes","Mountain-400-W Silver, 38",1,420,769,318,420,738
2011-01-26,26,January,2011,43,Adults,F,Australia,Queensland,Bikes,"Road Bikes","Road-150 Red, 62",3,2171,3578,2504,6513,9017
2011-01-27,27,January,2011,25,"Young Adults",F,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-200 Silver, 46",4,1266,2320,3010,5064,8074
2011-01-27,27,January,2011,32,"Young Adults",F,France,"Seine et Marne",Bikes,"Road Bikes","Road-350-W Yellow, 44",1,1083,1701,312,1083,1395
2011-01-27,27,January,2011,36,Adults,F,"United States",Washington,Bikes,"Road Bikes","Road-150 Red, 62",1,2171,3578,620,2171,2791
2011-01-27,27,January,2011,38,Adults,M,Australia,"New South Wales",Bikes,"Road Bikes","Road-550-W Yellow, 42",3,713,1120,784,2139,2923
2011-01-27,27,January,2011,38,Adults,M,Australia,Victoria,Bikes,"Road Bikes","Road-250 Black, 48",3,1555,2443,1125,4665,5790
2011-01-28,28,January,2011,19,Youth,F,Australia,"New South Wales",Bikes,"Road Bikes","Road-550-W Yellow, 42",4,713,1120,1046,2852,3898
2011-01-28,28,January,2011,29,"Young Adults",F,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-200 Silver, 38",1,1266,2320,752,1266,2018
2011-01-28,28,January,2011,30,"Young Adults",F,"United States",Washington,Bikes,"Road Bikes","Road-650 Red, 58",1,487,783,124,487,611
2011-01-28,28,January,2011,38,Adults,M,Germany,Hessen,Bikes,"Road Bikes","Road-250 Red, 48",4,1519,2443,3012,6076,9088
2011-01-28,28,January,2011,40,Adults,F,"United States",California,Bikes,"Road Bikes","Road-250 Black, 58",3,1555,2443,2517,4665,7182
2011-01-28,28,January,2011,41,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-650 Black, 58",1,487,783,124,487,611
2011-01-29,29,January,2011,19,Youth,M,Australia,"New South Wales",Bikes,"Road Bikes","Road-550-W Yellow, 42",2,713,1120,523,1426,1949
2011-01-29,29,January,2011,23,Youth,M,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-200 Silver, 38",4,1266,2320,3010,5064,8074
2011-01-29,29,January,2011,28,"Young Adults",M,Australia,Victoria,Bikes,"Road Bikes","Road-350-W Yellow, 42",2,1083,1701,522,2166,2688
2011-01-29,29,January,2011,42,Adults,F,Australia,"New South Wales",Bikes,"Road Bikes","Road-150 Red, 62",1,2171,3578,942,2171,3113
2011-01-30,30,January,2011,18,Youth,M,Australia,Victoria,Bikes,"Road Bikes","Road-750 Black, 52",1,344,540,83,344,427
2011-01-30,30,January,2011,27,"Young Adults",F,Germany,Bayern,Bikes,"Road Bikes","Road-550-W Yellow, 42",1,713,1120,396,713,1109
2011-01-30,30,January,2011,29,"Young Adults",M,"United Kingdom",England,Bikes,"Road Bikes","Road-350-W Yellow, 48",2,1083,1701,1100,2166,3266
2011-01-30,30,January,2011,32,"Young Adults",F,Australia,Queensland,Bikes,"Road Bikes","Road-250 Red, 58",1,1555,2443,497,1555,2052
2011-01-30,30,January,2011,34,"Young Adults",F,"United States",California,Bikes,"Road Bikes","Road-250 Black, 52",1,1555,2443,839,1555,2394
2011-01-30,30,January,2011,36,Adults,M,Canada,"British Columbia",Bikes,"Road Bikes","Road-750 Black, 44",1,344,540,191,344,535
2011-01-30,30,January,2011,36,Adults,M,"United States",California,Bikes,"Road Bikes","Road-350-W Yellow, 42",1,1083,1701,584,1083,1667
2011-01-30,30,January,2011,39,Adults,F,"United States",California,Bikes,"Road Bikes","Road-150 Red, 48",2,2171,3578,2671,4342,7013
2011-01-30,30,January,2011,39,Adults,M,Germany,Nordrhein-Westfalen,Bikes,"Road Bikes","Road-150 Red, 56",1,2171,3578,942,2171,3113
2011-01-30,30,January,2011,42,Adults,F,"United States",Washington,Bikes,"Road Bikes","Road-750 Black, 48",3,344,540,232,1032,1264
2011-01-31,31,January,2011,23,Youth,F,Australia,Victoria,Bikes,"Mountain Bikes","Mountain-200 Silver, 42",4,1266,2320,2267,5064,7331
2011-01-31,31,January,2011,23,Youth,F,"United States",Washington,Bikes,"Road Bikes","Road-150 Red, 48",1,2171,3578,620,2171,2791
2011-01-31,31,January,2011,25,"Young Adults",M,Australia,"New South Wales",Bikes,"Mountain Bikes","Mountain-200 Black, 38",1,1252,2295,745,1252,1997
2011-01-31,31,January,2011,36,Adults,M,"United States",Oregon,Bikes,"Road Bikes","Road-250 Red, 44",4,1519,2443,2328,6076,8404
2011-01-31,31,January,2011,39,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-550-W Yellow, 38",2,713,1120,321,1426,1747
2011-01-31,31,January,2011,41,Adults,M,"United States",Washington,Bikes,"Road Bikes","Road-650 Black, 58",1,487,783,124,487,611
2011-01-31,31,January,2011,61,Adults,F,"United States",California,Bikes,"Road Bikes","Road-150 Red, 52",4,2171,3578,5342,8684,14026
